State/UTs,Confirmed,Active,Recovered,Deceased,Total Population
Andaman and Nicobar,1351,831,500,20,380581
Andhra Pradesh,217040,85486,129615,1939,49577103
Arunachal Pradesh,2117,684,1430,3,1383727
Assam,57714,16983,40591,140,31205576
Bihar,75294,26669,48243,382,104099452
Chandigarh,1426,530,872,24,1055450
Chhattisgarh,11743,3072,8582,89,25545198
Dadra and Nagar Haveli and Daman and Diu,1456,417,1037,2,585764
Delhi,144127,10667,129362,4098,16787941
Goa,8206,2332,5802,72,1458545
Gujarat,69869,14386,52855,2628,60439692
Haryana,40843,6338,34031,474,25351462
Himachal Pradesh,3264,1169,2081,14,6864602
Jammu and Kashmir,24390,7264,16667,459,12267032
Jharkhand,17094,8816,8123,155,32988134
Karnataka,172102,79773,89238,3091,61095297
Kerala,33120,12152,20862,106,33406061
Ladakh,1639,416,1214,9,274000
Lakshadweep,0,0,0,0,64473
Madhya Pradesh,38157,8827,28353,977,72626809
Maharashtra,503084,147355,338362,17367,112374333
Manipur,3635,1697,1927,11,2570390
Meghalaya,1023,594,423,6,2966889
Mizoram,593,297,296,0,1097206
Nagaland,2688,1785,896,7,1978502
Odisha,44193,13692,30242,259,41974219
Puducherry,5123,1989,3054,80,1247953
Punjab,22928,7486,14880,562,27743338
Rajasthan,51328,13387,37163,778,68548437
Sikkim,860,389,470,1,610577
Tamil Nadu,290907,53481,232618,4808,72147030
Telengana,79495,22869,55999,627,35003674
Tripura,6146,1929,4176,41,3673917
Uttar Pradesh,118038,46177,69833,2028,199812341
Uttarakhand,9402,3322,5963,117,10086292
West Bengal,92615,25486,65124,2005,91276115
