No.s,Date,State,Confirmed,Deceased,Recovered,State_Name
86,01-06-2020,DL,990,50,268,Delhi
242,02-06-2020,DL,1298,33,497,Delhi
398,03-06-2020,DL,1513,59,299,Delhi
554,04-06-2020,DL,1359,44,356,Delhi
710,05-06-2020,DL,1330,49,417,Delhi
866,06-06-2020,DL,1320,53,349,Delhi
1022,07-06-2020,DL,1282,51,335,Delhi
1178,08-06-2020,DL,1007,62,358,Delhi
1334,09-06-2020,DL,1366,31,504,Delhi
1490,10-06-2020,DL,1501,79,384,Delhi
1646,11-06-2020,DL,1877,101,486,Delhi
1802,12-06-2020,DL,2137,129,667,Delhi
1958,13-06-2020,DL,2134,57,1547,Delhi
2114,14-06-2020,DL,2224,56,878,Delhi
2309,15-06-2020,DL,1647,73,604,Delhi
2504,16-06-2020,DL,1859,437,73,Delhi
2699,17-06-2020,DL,2414,67,957,Delhi
2894,18-06-2020,DL,2877,65,3884,Delhi
3089,19-06-2020,DL,3137,66,2228,Delhi
3284,20-06-2020,DL,3630,77,7725,Delhi
3440,21-06-2020,DL,3000,63,1719,Delhi
3596,22-06-2020,DL,2909,58,3589,Delhi
3752,23-06-2020,DL,3947,68,2711,Delhi
3908,24-06-2020,DL,3788,64,2124,Delhi
4064,25-06-2020,DL,3390,64,3328,Delhi
4220,26-06-2020,DL,3460,63,2326,Delhi
4376,27-06-2020,DL,2948,66,2210,Delhi
4532,28-06-2020,DL,2889,65,3306,Delhi
4688,29-06-2020,DL,2084,57,3628,Delhi
4844,30-06-2020,DL,2199,62,2113,Delhi
47,01-07-2020,DL,2442,61,1644,Delhi
203,02-07-2020,DL,2373,61,3015,Delhi
359,03-07-2020,DL,2520,59,2617,Delhi
515,04-07-2020,DL,2505,81,2632,Delhi
671,05-07-2020,DL,2244,63,3083,Delhi
827,06-07-2020,DL,1379,48,749,Delhi
983,07-07-2020,DL,2008,50,2129,Delhi
1139,08-07-2020,DL,2033,48,3982,Delhi
1295,09-07-2020,DL,2187,45,4027,Delhi
1451,10-07-2020,DL,2089,42,2468,Delhi
1607,11-07-2020,DL,1781,34,2998,Delhi
1763,12-07-2020,DL,1573,37,2276,Delhi
1919,13-07-2020,DL,1246,40,1344,Delhi
2075,14-07-2020,DL,1606,35,1924,Delhi
2270,15-07-2020,DL,1647,41,2463,Delhi
2465,16-07-2020,DL,1652,58,1994,Delhi
2660,17-07-2020,DL,1462,26,1608,Delhi
2855,18-07-2020,DL,1475,26,1973,Delhi
3050,19-07-2020,DL,1211,31,1860,Delhi
3245,20-07-2020,DL,954,35,1784,Delhi
